Keyword,Confidentiality Level,Sensivity Level
สะเหล่อ,15,10
สั้น,10,10
สันหลังยาว,10,10
สับปลับ,5,10
สัพเพเหระ,10,10
สิ้นสติ,10,10
สูญเสีย,15,10
สูญหาย,10,10
เสีย,10,10
เสื่อมโทรม,15,10
เสื่อมเสีย,15,10
โสโครก,10,10
โสมม,10,10
หงุดหงิด,10,10
หน้าด้าน,10,10
หนาวเก,5,10
หมองมัว,10,10
หมิ่น,10,10
หยาบ,10,10
หยอก,10,10
หรี่,10,10
หลง,10,10
ห่วย,15,10
หวิว,5,10
หึงหวง,10,10
หัวสูง,10,10
เหงา,10,10
เหม็น,5,10
เหี้ย,15,10
เหียก,15,10
เหี้ยมโหด,15,10
แหย,10,10
โหดร้าย,15,10
โหดเหี้ยม,15,10
ไหม้,5,10
อกตัญญู,15,10
อกแตก,10,10
อลัชชี,10,10
อ้วก,15,10
อ้วน,10,10
อ๋อง,5,10
อ่อนเพลีย,5,10
อื้อฉาว,10,10
เอนเอียง,10,10
﻿ฆ่า,5,10
ตัดขาด,5,10
ข่ม,15,10
ข่มขืน,15,10
ขโมย,15,10
ตาย,5,10
สอบตก,10,10
ล้ม,15,10
เสียใจ,15,10
กดดัน,5,10
กัก,10,10
กดขี่,10,10
กักขัง,10,10
กระชาก,10,10
กระวนกระวาย,10,10
กระแทก,15,10
กระทืบ,15,10
ก่อกวน,15,10
ก่อกรรมทำเข็ญ,15,10
กระทำชำเรา,15,10
กระทำอนาจาร,10,10
กระแทกกระทั้น,15,10
กระตุกหนวดเสือ,10,10
กระอัก,10,10
กระหึ่ม,10,10
กริ่งใจ,10,10
โกหก,10,10
กราดเกรี้ยว,5,10
กวาดล้าง,10,10
กรรโชก,5,10
กดราคา,10,10
ร้องไห้,10,10
กลัว,10,10
กลั่นแกล้ง,15,10
เศร้า,15,10
ร้องไห้,10,10
แพง,10,10
กำเริบ,10,10
แกว่ง,10,10
ขัดใจ,5,10
กล่าวหา,5,10
ก้าวก่าย,15,10
กำจัด,5,10
กังขา,10,10
กอบโกย,10,10
พูดจากวน,15,10
กวนตีน,10,10
โดนหมากัด,15,10
กังวล,10,10
เกร็ง,10,10
เกรงกลัว,10,10
เกรงใจ,15,10
เกลียด,5,10
เกลื่อน,10,10
โกหก,15,10
แก่งแย่ง,5,10
ข่มขวัญ,15,10
ข่มขี่,15,10
ข่มขู่,5,10
ขวางโลก,15,10
ขวางทาง,15,10
ขัดขืน,5,10
ขัดข้อง,15,10
ขัดขวาง,5,10
ร้องเรียน,5,10
กักขัง,10,10
ขาดแคลน,15,10
ขาดทุน,15,10
ขายชาติ,15,10
ขายขี้หน้า,15,10
ขายหน้า,10,10
ขาลง,10,10
ขี้,10,10
ขีดฆ่า,10,10
ขี้โม้,5,10
ขืน,10,10
ขืนใจ,5,10
ขู่เอาทรัพย์,15,10
ขู่เข็ญ,15,10
ขูดรีด,5,10
เขี่ยทิ้ง,10,10
เขวี้ยง,10,10
คตงอ,10,10
คดโกง,5,10
ครอบงำ,15,10
คลื่นไส้,10,10
คลาดเคลื่อน,5,10
คว้าน้ำเหลว,5,10
คว่ำ,15,10
คว่ำบาตร,15,10
คอร์รัปชั่น,10,10
คะนอง,5,10
คับคั่ง,5,10
คัดค้าน,5,10
ค้าง,10,10
ค้างคา,5,10
ค้างคาใจ,10,10
คาใจ,10,10
คุกเข่า,10,10
คุ้มเกรง,10,10
คุมขัง,10,10
คุมตัว,5,10
เค้น,10,10
เคร่ง,15,10
เคร่งเครียด,15,10
เคราะห์ซ้ำกรรมซัด,10,10
แค้นเคือง,10,10
ความแค้น,10,10
ใคร่ครวญ,15,10
ฆ่าแกง,5,10
ฆ่าตัดตอน,15,10
ฆ่าฟัน,15,10
ฆ่าไม่ตายขายไม่ขาด,15,10
ฆ่ายกครัว,15,10
ฆ่าล้างโคตร,10,10
เฆี่ยน,5,10
งงงวย,10,10
ขี้งก,10,10
งดเยี่ยม,5,10
เงี่ยน,10,10
จนปัญญา,5,10
คนจน,5,10
จมปลัก,10,10
จำโซ่,10,10
จำนำ,15,10
จิตตก,10,10
จับกุม,10,10
จำกัด,10,10
บาดเจ็บ,15,10
เจ็บไข้,15,10
เจ็บใจ,5,10
ฉ้อโกง,5,10
ฉีกหน้า,10,10
ชกต่อย,10,10
ชดใช้,10,10
ช่วงชิง,10,10
ช็อก,15,10
ชะงัก,10,10
ชะลอ,10,10
ชักกระตุก,15,10
ชักใย,10,10
เกลียดชัง,15,10
ช้ำใจ,10,10
ชิงชัง,5,10
ชิงดีชิงเด่น,15,10
ชิงนรกเกิด,15,10
ชิงสุกก่อนห่าม,15,10
ชิงหมาเกิด,10,10
ซ่อน,10,10
ซึม,15,10
ซึมซาบ,10,10
ซ้ำเติม,5,10
ซุกไว้ใต้พรม,10,10
ซุกซ่อน,10,10
แซว,10,10
แซะ,10,10
เณรคุณ,10,10
ด้อยค่า,15,10
ดัดสันดาน,10,10
ดับฝัน,10,10
ด่าทอ,10,10
ดิ้น,10,10
ดื้อรั้น,10,10
ดุด่า,5,10
ดูแคลน,10,10
ดูถูก,10,10
ดูหมิ่น,15,10
ดูหมิ่นถิ่นแคลน,10,10
คาดเดา,5,10
เดือด,10,10
เดือดดาล,15,10
เดือดร้อน,10,10
แดก,15,10
แดกดัน,10,10
โดน,10,10
ได้เสีย,5,10
ตกงาน,10,10
ตกใจ,15,10
ตกนรกทั้งเป็น,10,10
ตกหลุม,15,10
ตกหลุมพราง,10,10
ตั้งแง่,15,10
ตายดาบหน้า,5,10
โคลนตม,10,10
ตบหน้า,10,10
ตบตา,10,10
ตราหน้า,10,10
ต่อต้าน,10,10
ตอบโต้,10,10
ต่อย,10,10
ต่อสู้,15,10
ตอแหล,10,10
ตะลุมบอน,10,10
ตัดขาด,10,10
ต้าน,10,10
ตาย,10,10
ตายด้าน,10,10
ตาลาย,10,10
ตำหนิ,10,10
ติเตียน,15,10
ติดเชื้อ,10,10
ติดขัด,10,10
ตัดพ้อ,10,10
ตัดพ้อต่อว่า,15,10
ตีกิน,5,10
ถอน,10,10
ถีบหัวส่ง,15,10
ทรยศ,15,10
ถึงฆาต,10,10
ทรุด,10,10
ท่วม,10,10
ท้อแท้,10,10
ทะลึ่ง,10,10
ทักท้วง,5,10
ทุบหม้อข้าว,15,10
ทุบตี,10,10
โดเท,15,10
เททิ้ง,5,10
เทกระจาด,10,10
แทงข้างหลัง,15,10
แทง,15,10
แทงใจดำ,15,10
นอกใจ,15,10
เนรคุณ,10,10
บกพร่อง,10,10
บดขยี้,10,10
บ่น,10,10
บ่อน,15,10
บ่อนทำลาย,10,10
บาดหมาง,10,10
บานปลาย,10,10
บิดเบือน,10,10
เบียด,10,10
เบียดเบียน,10,10
เบื่อ,15,10
เบื่อชีวิต,10,10
เบื่อหน้า,10,10
โบ้ย,15,10
ปฏิเสธ,10,10
พูดปด,10,10
ปนเปื้อน,15,10
ประจาน,15,10
ประจาร,10,10
ประชด,15,10
ประชดประชัน,10,10
ประณาม,10,10
ประท้วง,10,10
ประมาท,10,10
ค่าปรับ,10,10
ปราบ,15,10
ปราบปราม,10,10
ปลงใจ,10,10
ป่วย,10,10
ปลงชีวิต,10,10
ปล้น,15,10
ปล้นสะดม,10,10
ปลอม,5,10
ปวด,15,10
ปลอมปน,10,10
ปะทะ,10,10
ปะปน,10,10
ปาด,15,10
เป็นลม,10,10
เปลือง,10,10
โป๊,10,10
ผลัก,10,10
ผัดวันประกันพรุ่ง,10,10
ผ่าตัด,15,10
เผ่นหนี,10,10
ลืม,10,10
หลบหนี,10,10
ความขมขื่น,10,10
ความขมุกขมัว,10,10
ความขุ่นเคือง,10,10
ความข้องใจ,15,10
ความฉิบหาย,15,10
ความชั่วช้า,10,10
ความซ้ำซ้อน,10,10
ความดื้อ,10,10
ความทรุดโทรม,5,10
ฟุ่มเฟือย,10,10
ฟุ้งเฟ้อ,10,10
กระจุกกระจิก,10,10
กระดาน,10,10
แก่เกินไป,10,10
เกรียน,10,10
คลุมเครือ,10,10
คลุมถุงชน,10,10
เกเร,10,10
เกินไป,10,10
เชื่องช้า,10,10
วิกฤติ,10,10
เจ็บปวด,5,10
ความลึกลับ,15,10
เผด็จการ,10,10
ขัดแย้ง,5,10
องควิการ,10,10
รังเกียจ,10,10
อกหัก,10,10
ไร้สาระ,10,10
คงขาด,10,10
คบชู้,10,10
ครหา,10,10
คบชู้สู่ชาย,10,10
กำกวม,10,10
มืดมน,15,10
ฮือฮา,10,10
ลึกลับ,10,10
กลุ้มใจ,10,10
น่ากลัว,15,10
เกียจคร้าน,10,10
ขวางโลก,10,10
เศร้าใจ,10,10
ไม่มีทางรักษา,10,10
สิ้นหวัง,10,10
ไร้ผล,15,10
อัมพาต,10,10
เศร้าซึม,10,10
สลดใจ,10,10
ท้อแท้,15,10
น่าเบื่อ,10,10
กระสับกระส่าย,10,10
ขัดสมาธิ,5,10
ขุ่นมัว,10,10
คมคาย,10,10
กระเซอะกระเซิง,10,10
เคร่งขรึม,10,10
คระหาย,10,10
กระหาย,10,10
คระเมิม,10,10
เครียด,10,10
คบไม่ได้,10,10
คตงอ,10,10
งอแง,15,10
โง่,15,10
จังไร,10,10
ไม่สน,10,10
จัญไร,10,10
เจือจาง,10,10
ต่ำ,15,10
ต่ำต้อย,10,10
ฉูดฉาด,10,10
ชั่ว,15,10
ชู้สาว,10,10
ซวย,10,10
ซ้ำ,10,10
ซ้ำซ้อน,15,10
ซ้ำร้าย,10,10
เซ่อ,10,10
ดุดัน,10,10
ดุร้าย,10,10
ตกม้าตาย,10,10
ทราม,10,10
ทะลุ,10,10
ทุเรศ,10,10
เทียม,10,10
นักเลง,10,10
ลบข้อความ,10,10
ปรัมปรา,10,10
เท็จ,10,10
ตอแหล,10,10
ตาขาว,10,10
ฉุนเฉียว,10,10
เฉื่อย,10,10
ชะงัด,10,10
ชู้สาว,10,10
ซวย,5,10
ซ้ำซ้อน,10,10
ซ้ำร้าย,10,10
ซุกซน,5,10
โซซัดโซเซ,10,10
ซบเซา,10,10
ดื้อ,10,10
ดุร้าย,10,10
เดียรดาษ,10,10
ตกม้าตาย,10,10
ตรงข้าม,10,10
ตระหนี่ถี่เหนียว,10,10
ตอแหล,10,10
ตาขาว,10,10
ชั้นต่ำ,10,10
ต่ำต้อย,15,10
ติดเชื้อ,10,10
เตี้ย,10,10
ทรหด,10,10
ทราม,10,10
ทะลุ,10,10
ทื่อ,15,10
ทุเรศ,10,10
เท็จ,10,10
เทียม,5,10
น้อยเกินไป,10,10
นักเลง,5,10
เบื่อน่าย,5,10
บุ๋ม,10,10
เบี่ยง,10,10
ปากเสีย,15,10
ปากหมา,10,10
ปาราชิก,10,10
เป็นลม,10,10
เปล่าเปลี่ยว,5,10
เปื่อย,10,10
แปร่ง,5,10
ผิด,10,10
ผิดหวัง,10,10
เผ็ดร้อน,10,10
แผลในใจ,10,10
แผลง,5,10
พล่าน,10,10
พิการ,10,10
ฟกช้ำ,5,10
เพี้ยน,10,10
แพง,10,10
แฟบ,10,10
มัวหมอง,10,10
โมเม,10,10
ยุ่งเหยิง,5,10
รกเรื้อ,15,10
ร่อแร่,10,10
รัดกุม,10,10
ร้าย,15,10
ร้ายกาจ,10,10
ริบหรี่,10,10
รุนแรง,10,10
รุกรุย,10,10
รุ่ยร่าย,10,10
ล้มละลาย,10,10
ลักขโมย,10,10
ล้าสมัย,10,10
ลำบาก,10,10
เลวทราม,10,10
โลเล,10,10
ว่ายาก,10,10
วิปโยค,10,10
วิเวก,10,10
สลัว,10,10
กระซวก,10,10
สะเหล่อ,10,10
สั้น,10,10
สันหลังยาว,10,10
สับปลับ,10,10
สัพเพเหระ,10,10
สิ้นสติ,5,10
สูญเสีย,10,10
โทรม,10,10
เสียเที่ยว,10,10
เสื่อมโทรม,15,10
เสื่อมเสีย,10,10
โสโครก,10,10
หงุดหงิด,10,10
หน้าด้าน,10,10
หนาว,10,10
หมองมัว,10,10
หมิ่น,10,10
หยาบ,10,10
หยอก,5,10
กะหรี่,10,10
หลงเธอ,10,10
หลงเส้นทาง,10,10
ห่วยแตก,10,10
หวิว,5,10
หึงหวง,10,10
หัวสูง,10,10
เหงา,10,10
เหม็น,10,10
ไม่เชื่อ,10,10
เหี้ย,10,10
บรรลัย,10,10
เหียก,10,10
เหี้ยมโหด,10,10
โหดร้าย,10,10
ทำสงคราม,15,10
ทำอันตราย,10,10
ทำเป็นทองไม่รู้ร้อน,10,10
ทำเป็นเล่น,5,10
ทำเล่นๆ,10,10
ทำโดยพลการ,15,10
ทำเอาเจ็บ,10,10
ทิ้งขว้าง,15,10
ทิ้งๆ ขว้างๆ,15,10
ไม่รู้คุณ,15,10
ไม่รู้จบรู้สิ้น,10,10
ทำใจไม่ได้,5,10
ดูไม่ได้,10,10
ดุด่า,10,10
ด่ากลับ,10,10
ไม่รู้ไม่ชี้,10,10
ไม่ลงตัว,10,10
วุ่นวาย,10,10
วุ่นวายใจ,15,10
ก่อความวุ่นวาย,15,10
สับสนวุ่นวาย,10,10
สับสน,10,10
ไม่รู้สึกตัว,10,10
ไม่ลงรอย,10,10
ไม่ลงรอยกัน,10,10
ไม่สบายใจ,15,10
ไม่สมบูรณ์,10,10
ไม่สมฐานะ,10,10
ไม่สม่ำเสมอ,10,10
ไม่สมควร,10,10
ไม่อร่อย,10,10
ไม่เข้ากัน,15,10
ไม่เจียมกะลาหัว,10,10
ไม่เชื่อ,10,10
ไม่เหมาะสม,10,10
ไม่เห็นค่า,10,10
ไม่เห็นด้วย,10,10
ละเลย,10,10
มีโทษ,10,10
มอมเมา,10,10
มอมเหล้า,10,10
มากเกินไป,10,10
มีความผิด,10,10
มีชู้,10,10
มีปัญหา,10,10
ไม่เอาไหน,10,10
ไม่ใช่,10,10
ไม่ได้เรื่อง,10,10
ไม่ไว้วางใจ,15,10
ไม่ไว้หน้าใคร,10,10
ไม่ไว้ใจ,10,10
ไม่ไหว,10,10
อดไม่ไหว,10,10
ทนไม่ไหว,10,10
สละสิทธิ์,10,10
ขับไล่,15,10
ขับไล่ไสส่ง,15,10
ไล่ออก,10,10
เมื่อย,10,10
ทำร้าย,10,10
ไม่สวย,10,10
ไม่สะไม่สวย,10,10
โหดเหี้ยม,10,10
ไหม้,15,10
อกตัญญู,10,10
อกแตก,10,10
อลัชชี,10,10
อ้วก,10,10
อ้วน,15,10
ทำมิดีมิร้าย,10,10
ทำลายขวัญ,10,10
ทำลายล้าง,10,10
อ๋อง,10,10
อ่อนเพลีย,10,10
อื้อฉาว,5,10
เอนเอียง,15,10
ฆ่าตัดตอน,5,10
ตัดใจ,10,10
ข่ม,15,10
ข่มขืน,10,10
ขโมย,10,10
ตายคาที่,10,10
ตกม้าตาย,10,10
ทุจริต,10,10
ล้ม,10,10
เสียใจ,10,10
กดดัน,10,10
กักกัน,10,10
กดขี่,10,10
กักขัง,10,10
กระชาก,10,10
กระวนกระวาย,10,10
กระแทก,15,10
กระทืบ,10,10
ก่อกวน,15,10
ก่อกรรมทำเข็ญ,10,10
กระทำชำเรา,15,10
กระทำอนาจาร,10,10
กระแทกกระทั้น,15,10
กระตุกหนวดเสือ,10,10
กระอัก,10,10
กระหึ่ม,10,10
กริ่งใจ,10,10
โกหก,15,10
กราดเกรี้ยว,10,10
กวาดล้าง,10,10
กรรโชก,10,10
กดราคา,10,10
ร้องไห้,10,10
กลัว,10,10
กลั่นแกล้ง,10,10
เศร้า,10,10
ร้อนตัว,10,10
ร้าว,10,10
ร้าวราน,10,10
แพง,10,10
มอมเมา,10,10
ลดเกียรติ,10,10
ลาตาย,10,10
ลำบากใจ,10,10
ล่มจม,10,10
ล่มสลาย,15,10
ล่วงประเวณี,15,10
ล่วงละเมิด,10,10
ล่อแหลม,10,10
กดหัว,10,10
กำเริบ,10,10
แกว่ง,10,10
ขัดใจ,10,10
กล่าวหา,10,10
ก้าวก่าย,10,10
กำจัด,10,10
กังขา,10,10
กอบโกย,10,10
กวน,10,10
กวนตีน,5,10
กัดฟัน,10,10
กังวล,15,10
ไฟไหม้,10,10
น้ำท่วม,10,10
สึนามิ,10,10
ทำบาป,15,10
ทำบาปทำกรรม,10,10
ไอ้เวร,10,10
ไอ้บ้า,10,10
ไอ้,10,10
คิดมาก,15,10
คิดมิดีมิร้าย,10,10
คิดร้าย,5,10
ถุยน้ำลาย,10,10
เกร็ง,10,10
เกรงกลัว,10,10
ปาดคอ,10,10
โดนรุม,10,10
รุมล้อม,10,10
ชั่งแม่ง,10,10
แม่ง,10,10
มั่วซั่ว,10,10
มั่วนิ่ม,10,10
มั่วสุม,10,10
ติดคุก,10,10
คุกตาราง,10,10
เกรงใจ,15,10
เกลียด,10,10
ไม่มีแรง,10,10
ไม่มีใคร,10,10
ไม่มีสติ,10,10
ไม่มีน้ำใจ,10,10
ไม่มีเงิน,10,10
ไม่มีการศึกษา,10,10
เกลื่อน,10,10
โกหก,10,10
แก่งแย่ง,10,10
แย่มาก,15,10
คอรัปชั่น,10,10
เหลื่อมล้ำ,10,10
ข่มขวัญ,10,10
ข่มขี่,10,10
ข่มขู่,10,10
ขวาง,10,10
ขัดขืน,10,10
ขัดข้อง,10,10
ขัดขวาง,10,10
ร้องเรียน,10,10
ห้องขัง,10,10
ขาดแคลน,10,10
ขาดทุน,10,10
ขายชาติ,15,10
ขายขี้หน้า,15,10
ขายหน้า,10,10
ขาลง,10,10
เปียก,10,10
ปวดขี้,10,10
ขีดฆ่า,10,10
ขี้โม้,10,10
ขืนใจ,10,10
ขมขู่,10,10
ขู่เข็ญ,10,10
ขูดรีด,10,10
เขี่ย,10,10
ทรมาน,10,10
เขวี้ยง,10,10
โกงกิน,10,10
คตเคี้ยว,10,10
คดโกง,10,10
คดงอ,10,10
ครอบงำ,10,10
คลื่นไส้,10,10
คลาดเคลื่อน,10,10
คว้าน้ำเหลว,10,10
คว่ำ,10,10
คว่ำบาตร,10,10
คะนอง,10,10
คับคั่ง,10,10
ค้างชำระ,10,10
ชอบกล,10,10
คัดค้าน,10,10
ติดค้าง,10,10
ค้างคา,10,10
ค้างคาใจ,10,10
คาใจ,10,10
คุกเข่า,10,10
คุ้มเกรง,10,10
คุมขัง,10,10
คุมตัว,10,10
เค้นความจริง,10,10
ชัดช้า,10,10
ความหดหู่,10,10
หดหู่,10,10
หดหู่ใจ,10,10
ความสูญเสีย,10,10
ความหงุดหงิด,10,10
เคร่ง,10,10
อย่างเคร่งเครียด,10,10
ตึงเครียด,15,10
ความเคร่งเครียด,15,10
ผิดจารีตประเพณี,10,10
ผิดจังหวะ,10,10
ผิดคำพูด,10,10
ผิดคำสัตย์,10,10
เคร่งเครียด,10,10
เคราะห์ซ้ำกรรมซัด,10,10
เคือง,5,10
แค้น,10,10
ใคร่ครวญ,10,10
ฆ่าแกง,10,10
มดเท็จ,10,10
อาฆาต,10,10
ฆ่าตัดตอน,10,10
ฆ่าฟัน,15,10
ฆ่าไม่ตายขายไม่ขาด,15,10
ฆ่ายกครัว,15,10
ฆ่าล้างโคตร,10,10
ม้วนหน้า,10,10
เฆี่ยน,10,10
งงงวย,10,10
ขี้งก,10,10
งกจังเลย,10,10
งดเยี่ยม,10,10
งดเข้าชม,10,10
เงี่ยน,10,10
ไม่มีเงิน,10,10
จมน้ำ,10,10
จมปลัก,10,10
จำโซ่,10,10
พูดจิก,10,10
จำนำ,10,10
จิตตก,10,10
จับกุม,10,10
จำกัด,10,10
เจ็บปวด,10,10
เจ็บไข้,10,10
เจ็บใจ,10,10
ฉ้อ,10,10
ฉี่ราด,10,10
เส้นเอ็นฉีก,5,10
ชกต่อย,10,10
ชดใช้,10,10
ช่วงชิง,10,10
ช็อก,10,10
ชะงัก,10,10
ชะลอ,10,10
ชักกระตุก,10,10
ชักใย,10,10
ช้ำใจ,10,10
เซ็ง,10,10
ชิงชัง,10,10
ชิงดีชิงเด่น,10,10
ชิงนรกเกิด,10,10
ชิงสุกก่อนห่าม,10,10
ชิงหมาเกิด,10,10
ซ่อน,10,10
ซึมเศร้า,15,10
ซึมซาบ,10,10
ซ้ำเติม,10,10
ซุกซ่อน,10,10
แซว,10,10
แซะ,10,10
เณรคุณ,10,10
แดกดัน,10,10
ด้อย,10,10
ล่มสลาย,10,10
ช่างมัน,10,10
ทาส,10,10
ดัดสันดาน,10,10
ดับฝัน,15,10
ภาวะมลพิษ,15,10
ภาวะวิกฤติ,15,10
ภาวะสงคราม,10,10
ด่าทอ,10,10
ดิ้น,10,10
ละเหี่ยใจ,10,10
ดื้อ,10,10
ดุร้าย,10,10
ดูแคลน,10,10
ใจแคบ,10,10
ดูถูก,10,10
ดูถูกดูแคลน,10,10
ดูหมิ่น,15,10
ดูหมิ่นถิ่นแคลน,15,10
อิจฉาริษยา,10,10
เดามั่ว,10,10
เดือด,10,10
เดือดดาล,10,10
เดือดร้อน,10,10
แดกดัน,10,10
โดน,10,10
ได้เสีย,10,10
สงสาร,5,10
โมโห,15,10
โรคจิต,15,10
อีห่า,10,10
ช่างแม่ง,10,10
ไม่เกรงใจ,10,10
แทงคอ,10,10
แทงช้างหลัง,10,10
เหนื่อย,10,10
ตกงาน,10,10
โหยหา,10,10
ฝืนเกินไป,10,10
ตกใจ,15,10
ตกนรกทั้งเป็น,10,10
ตกหลุม,10,10
ตกหลุมพราง,10,10
ตั้งแง่,10,10
ตายดาบหน้า,10,10
โคนตม,10,10
ตบตา,10,10
ตราหน้า,10,10
ต่อต้าน,10,10
ตอบโต้,10,10
ต่อย,10,10
ต่อสู้,5,10
ตอแหล,15,10
ตะลุมบอน,10,10
ตัดขาด,10,10
ต้าน,10,10
ตาย,10,10
ตายด้าน,10,10
ตาลาย,10,10
ตำหนิ,5,10
ติเตียน,10,10
ติดเชื้อ,10,10
ติดขัด,10,10
ตัดพ้อ,10,10
ตัดพ้อต่อว่า,10,10
ตีกิน,10,10
ถอน,10,10
ถีบ,10,10
ทรยศ,15,10
ถึงฆาต,10,10
ทรุด,10,10
ท่วม,10,10
ท้อใจ,10,10
ทะลึ่ง,10,10
ทักท้วง,10,10
ทุบ,10,10
ทุบตี,10,10
โดนเท,10,10
เทกระจาด,10,10
แทงใจดำ,5,10
นอกใจ,10,10
เนรคุณ,10,10
บกพร่อง,10,10
ร่วงโรย,10,10
บดยาง,10,10
ขี้บ่น,10,10
อำเภอใจ,10,10
บ่อน,10,10
บ่อนทำลาย,5,10
บาดหมาง,10,10
บานปลาย,10,10
ไม่บิดตลอด,10,10
บิดเบือน,10,10
เบียด,10,10
เบียดเบียน,10,10
ขี้ข้า,10,10
เบื่อ,10,10
เบื่อหน้า,10,10
ปฏิเสธ,10,10
พูดปด,10,10
ปนเปื้อน,15,10
ประจาน,15,10
ประจาร,10,10
ประชด,15,10
ประชดประชัน,10,10
ประณาม,10,10
ประท้วง,10,10
อันตราย,10,10
ประมาท,10,10
ปรับ,5,10
ความผิดพลาด,10,10
ถอยหลัง,10,10
ปราบ,10,10
ปราบปราม,10,10
ปลงใจ,10,10
ป่วย,10,10
ปลงชีวิต,5,10
ปล้น,10,10
ปล้นสะดม,10,10
อกตัญญู,10,10
อดตาย,10,10
อดนอน,10,10
อดหลับอดนอน,10,10
ความไม่แน่นอน,10,10
คว่ำบาตร,10,10
คับอกคับใจ,10,10
คับแค,10,10
คับแคบ,10,10
คับแค้น,10,10
คับแค้นใจ,10,10
คับใจ,10,10
คาดโทษ,10,10
ปลอมเปลือก,15,10
ปลอม,5,10
ยอมแพ้,10,10
ปวด,10,10
ปลอมปน,10,10
ปะทะ,10,10
บ้าคลั่ง,10,10
บ้าสุดๆ,10,10
ปะปน,10,10
เคียดแค้น,10,10
ชั่วร้าย,10,10
ไม่ทน,10,10
หวงห้าม,10,10
ปาดหน้า,15,10
ล้มเหลว,10,10
เศร้าโศก,15,10
ไม่ยุติธรรม,15,10
น่าเวทนา,10,10
ขมขื่น,10,10
ไม่มีอารมณ์,10,10
ทุกข์ยาก,10,10
ยากจน,10,10
ไม่เพียงพอ,10,10
อึดอัด,10,10
ตกใจ,15,10
ไม่ลงรอยกัน,10,10
ขี้ขลาด,10,10
เงอะงะ,10,10
ลังเล,10,10
ฉุนเฉียว,10,10
ดื้อดึง,10,10
หายไป,10,10
เป็นลม,10,10
เยาะเย้ย,15,10
ปราบปราม,10,10
ดูหมิ่น,10,10
สิ้นเปลือง,15,10
เปลืองตัว,10,10
เสแสร้ง,10,10
จับโป๊,10,10
ซับซ้อน,10,10
ใจร้อน,10,10
ผลักไส,10,10
พังทลาย,15,10
พังพินาศ,10,10
พังยับเยิน,10,10
อกคราก,10,10
ขี้อาย,10,10
ย่ำแย่,10,10
แย่จัง,10,10
แย่มาก,10,10
ใจลอย,10,10
ใจสลาย,10,10
เสี่ยง,10,10
ขอโทษ,10,10
อกจะแตก,10,10
ผัดวันประกันพรุ่ง,10,10
